v_tilde(cm^-1),abs
2921.72168,0.27724
2921.46679,0.27334
2921.21191,0.27062
2920.95703,0.26844
2920.70214,0.26672
2920.44726,0.26568
2920.19238,0.26496
2919.93750,0.26419
2919.68261,0.26356
2919.42773,0.26321
2919.17285,0.26289
2918.91797,0.26254
2918.66308,0.26228
2918.40820,0.26207
2918.15332,0.26186
2917.89843,0.26174
2917.64355,0.26169
2917.38867,0.26156
2917.13379,0.26141
2916.87890,0.26138
2916.62402,0.26138
2916.36914,0.26125
2916.11425,0.26102
2915.85937,0.26084
2915.60449,0.26069
2915.34961,0.26050
2915.09472,0.26034
2914.83984,0.26025
2914.58496,0.26017
2914.33007,0.26002
2914.07519,0.25984
2913.82031,0.25966
2913.56543,0.25948
2913.31054,0.25933
2913.05566,0.25922
2912.80078,0.25906
2912.54589,0.25890
2912.29101,0.25895
2912.03613,0.25910
2911.78125,0.25908
2911.52636,0.25893
2911.27148,0.25893
2911.01660,0.25897
2910.76172,0.25893
2910.50683,0.25908
2910.25195,0.25950
2909.99707,0.25971
2909.74218,0.25958
2909.48730,0.25955
2909.23242,0.25957
2908.97754,0.25939
2908.72265,0.25930
2908.46777,0.25948
2908.21289,0.25939
2907.95800,0.25915
2907.70312,0.25944
2907.44824,0.25983
2907.19336,0.25969
2906.93847,0.26009
2906.68359,0.26163
2906.42871,0.26324
2906.17382,0.26737
2905.91894,0.28085
2905.66406,0.30342
2905.40918,0.32051
2905.15429,0.31869
2904.89941,0.30429
2904.64453,0.29133
2904.38964,0.28324
2904.13476,0.27752
2903.87988,0.27592
2903.62500,0.28018
2903.37011,0.28519
2903.11523,0.28462
2902.86035,0.27919
2902.60547,0.27336
2902.35058,0.26897
2902.09570,0.26578
2901.84082,0.26366
2901.58593,0.26221
2901.33105,0.26085
2901.07617,0.25976
2900.82129,0.25913
2900.56640,0.25858
2900.31152,0.25810
2900.05664,0.25807
2899.80175,0.25821
2899.54687,0.25810
2899.29199,0.25802
2899.03711,0.25821
2898.78222,0.25821
2898.52734,0.25789
2898.27246,0.25770
2898.01757,0.25768
2897.76269,0.25749
2897.50781,0.25728
2897.25293,0.25724
2896.99804,0.25717
2896.74316,0.25698
2896.48828,0.25694
2896.23339,0.25695
2895.97851,0.25676
2895.72363,0.25661
2895.46875,0.25676
2895.21386,0.25684
2894.95898,0.25660
2894.70410,0.25641
2894.44922,0.25645
2894.19433,0.25640
2893.93945,0.25621
2893.68457,0.25619
2893.42968,0.25630
2893.17480,0.25631
2892.91992,0.25638
2892.66504,0.25661
2892.41015,0.25666
2892.15527,0.25647
2891.90039,0.25639
2891.64550,0.25651
2891.39062,0.25654
2891.13574,0.25645
2890.88086,0.25651
2890.62597,0.25665
2890.37109,0.25661
2890.11621,0.25651
2889.86132,0.25650
2889.60644,0.25645
2889.35156,0.25625
2889.09668,0.25615
2888.84179,0.25626
2888.58691,0.25638
2888.33203,0.25642
2888.07714,0.25643
2887.82226,0.25638
2887.56738,0.25624
2887.31250,0.25616
2887.05761,0.25626
2886.80273,0.25644
2886.54785,0.25661
2886.29297,0.25680
2886.03808,0.25693
2885.78320,0.25691
2885.52832,0.25681
2885.27343,0.25671
2885.01855,0.25659
2884.76367,0.25652
2884.50879,0.25660
2884.25390,0.25666
2883.99902,0.25660
2883.74414,0.25664
2883.48925,0.25685
2883.23437,0.25691
2882.97949,0.25681
2882.72461,0.25695
2882.46972,0.25734
2882.21484,0.25755
2881.95996,0.25744
2881.70507,0.25728
2881.45019,0.25713
2881.19531,0.25696
2880.94043,0.25686
2880.68554,0.25684
2880.43066,0.25675
2880.17578,0.25671
2879.92089,0.25686
2879.66601,0.25695
2879.41113,0.25685
2879.15625,0.25687
2878.90136,0.25711
2878.64648,0.25723
2878.39160,0.25713
2878.13672,0.25707
2877.88183,0.25710
2877.62695,0.25708
2877.37207,0.25712
2877.11718,0.25724
2876.86230,0.25730
2876.60742,0.25728
2876.35254,0.25730
2876.09765,0.25729
2875.84277,0.25726
2875.58789,0.25746
2875.33300,0.25774
2875.07812,0.25768
2874.82324,0.25741
2874.56836,0.25735
2874.31347,0.25740
2874.05859,0.25742
2873.80371,0.25773
2873.54882,0.25827
2873.29394,0.25843
2873.03906,0.25822
2872.78418,0.25812
2872.52929,0.25802
2872.27441,0.25760
2872.01953,0.25726
2871.76464,0.25727
2871.50976,0.25719
2871.25488,0.25692
2871.00000,0.25691
2870.74511,0.25699
2870.49023,0.25676
2870.23535,0.25659
2869.98047,0.25673
2869.72558,0.25663
2869.47070,0.25627
2869.21582,0.25631
2868.96093,0.25661
2868.70605,0.25648
2868.45117,0.25629
2868.19629,0.25654
2867.94140,0.25678
2867.68652,0.25692
2867.43164,0.25742
2867.17675,0.25783
2866.92187,0.25755
2866.66699,0.25751
2866.41211,0.25826
2866.15722,0.25859
2865.90234,0.25841
2865.64746,0.25926
2865.39257,0.26078
2865.13769,0.26299
2864.88281,0.27137
2864.62793,0.29025
2864.37304,0.31088
2864.11816,0.31705
2863.86328,0.30683
2863.60839,0.29320
2863.35351,0.28391
2863.09863,0.27764
2862.84375,0.27461
2862.58886,0.27710
2862.33398,0.28195
2862.07910,0.28251
2861.82422,0.27770
2861.56933,0.27181
2861.31445,0.26742
2861.05957,0.26418
2860.80468,0.26180
2860.54980,0.26027
2860.29492,0.25905
2860.04004,0.25793
2859.78515,0.25721
2859.53027,0.25680
2859.27539,0.25642
2859.02050,0.25613
2858.76562,0.25603
2858.51074,0.25586
2858.25586,0.25559
2858.00097,0.25541
2857.74609,0.25531
2857.49121,0.25518
2857.23632,0.25505
2856.98144,0.25500
2856.72656,0.25503
2856.47168,0.25527
2856.21679,0.25568
2855.96191,0.25593
2855.70703,0.25586
2855.45214,0.25571
2855.19726,0.25570
2854.94238,0.25565
2854.68750,0.25535
2854.43261,0.25501
2854.17773,0.25498
2853.92285,0.25520
2853.66797,0.25527
2853.41308,0.25509
2853.15820,0.25492
2852.90332,0.25489
2852.64843,0.25487
2852.39355,0.25482
2852.13867,0.25470
2851.88379,0.25448
2851.62890,0.25429
2851.37402,0.25430
2851.11914,0.25431
2850.86425,0.25417
2850.60937,0.25424
2850.35449,0.25469
2850.09961,0.25502
2849.84472,0.25494
2849.58984,0.25491
2849.33496,0.25510
2849.08007,0.25523
2848.82519,0.25532
2848.57031,0.25551
2848.31543,0.25549
2848.06054,0.25526
2847.80566,0.25538
2847.55078,0.25573
2847.29589,0.25569
2847.04101,0.25546
2846.78613,0.25546
2846.53125,0.25523
2846.27636,0.25468
2846.02148,0.25463
2845.76660,0.25491
2845.51172,0.25465
2845.25683,0.25455
2845.00195,0.25548
